"","Xc1.A","Xc1.R","Xc1.N","Xc1.D","Xc1.C","Xc1.E","Xc1.Q","Xc1.G","Xc1.H","Xc1.I","Xc1.L","Xc1.K","Xc1.M","Xc1.F","Xc1.P","Xc1.S","Xc1.T","Xc1.W","Xc1.Y","Xc1.V","Xc2.lambda.1"
"ENSCINP00000007207.3",57.2954412721271,62.8401613952361,54.5230812105725,55.4472012310907,6.46884014362725,48.0542410669453,45.2818810053907,29.5718406565817,21.2547604719181,46.2060010259089,49.9024811079816,66.5366414773088,15.710040348809,19.4065204308817,55.4472012310907,77.626081723527,43.4336409643544,5.54472012310907,12.9376802872545,39.7371608822817,0.0758799794818215
"ENSTRUP00000057393.1",22.1710953338176,18.4759127781813,10.1617520279997,14.7807302225451,8.3141607501816,10.1617520279997,16.6283215003632,16.6283215003632,5.5427738334544,9.23795638909066,22.1710953338176,10.1617520279997,5.5427738334544,6.46656947236346,12.9331389447269,20.3235040559995,15.7045258614541,2.7713869167272,4.61897819454533,24.9424822505448,0.0762043610909338
"ENSDARP00000132131.1",24.3754736572521,0,3.75007287034647,2.81255465275985,0,9.37518217586618,5.62510930551971,14.0627732637993,0,0.937518217586618,6.56262752310632,12.187736828626,0,18.7503643517324,28.1255465275985,29.0630647451851,18.7503643517324,0,0,5.62510930551971,0.0624817824133823
"ENSGALP00000024462.4",27.4779474938031,22.8982895781692,8.24338424814093,8.24338424814093,2.74779474938031,14.6549053300283,10.0752474143945,21.0664264119157,8.24338424814093,7.32745266501416,36.6372633250708,14.6549053300283,8.24338424814093,16.4867684962819,21.0664264119157,20.1504948287889,10.9911789975212,0.91593158312677,5.49558949876062,28.3938790769299,0.0840684168732301
"ENSGALP00000064711.2",12.8415536332544,7.33803064757395,4.58626915473372,9.17253830946743,6.4207768166272,11.0070459713609,5.50352298568046,10.0897921404142,1.83450766189349,7.33803064757395,7.33803064757395,20.1795842808284,3.66901532378697,5.50352298568046,2.75176149284023,12.8415536332544,15.5933151260946,1.83450766189349,6.4207768166272,8.25528447852069,0.0827461690532569
"ENSEBUP00000020994.1",15.6632382624416,11.9777704359847,7.37093565291367,4.60683478307105,3.68546782645684,25.7982747851979,12.8991373925989,7.37093565291367,17.50597217567,11.9777704359847,26.7196417418121,14.7418713058273,5.52820173968526,6.44956869629946,12.8991373925989,12.8991373925989,12.8991373925989,6.44956869629946,7.37093565291367,11.9777704359847,0.0786330433857909
"ENSP00000449396.1",101.5366062965,44.7133679103854,44.7133679103854,61.48088087678,6.52069948693121,106.194248787165,54.0286528917157,76.3853368469084,28.8773834421239,35.3980829290551,83.8375648319727,90.3582643189039,26.0827979477248,27.9458549439909,130.413989738624,76.3853368469084,63.343937873046,10.2468134794633,24.2197409514588,67.0700518655782,0.0684715018669701
"ENSP00000443808.1",11.0102424277673,7.3401616185115,1.83504040462788,0,2.75256060694181,0.917520202313938,7.3401616185115,8.25768182082544,0.917520202313938,0.917520202313938,10.0927222254533,0.917520202313938,1.83504040462788,6.42264141619756,8.25768182082544,5.50512121388363,6.42264141619756,2.75256060694181,0.917520202313938,2.75256060694181,0.0824797976860623
"ENSFCAP00000038891.1",13.7933649563084,17.471595611324,9.19557663753896,11.9542496288006,3.67823065501558,11.0346919650467,11.9542496288006,6.43690364627727,2.75867299126169,2.75867299126169,11.0346919650467,6.43690364627727,4.59778831876948,9.19557663753896,8.27601897378506,11.9542496288006,15.6324802838162,3.67823065501558,8.27601897378506,11.9542496288006,0.0804423362461044
"FBpp0308546",16.4856542040325,15.5697845260307,9.15869678001805,9.15869678001805,1.83173935600361,10.9904361360217,10.0745664580199,23.8126116280469,3.66347871200722,10.0745664580199,14.6539148480289,15.5697845260307,4.57934839000902,6.41108774601263,8.24282710201624,11.9063058140235,10.0745664580199,0.915869678001805,5.49521806801083,6.41108774601263,0.0841303219981954
